"full_name","neo","diameter","albedo","epoch","e","a","i","om","w","ma","ad","n","tp","per","pha"
"       (2003 YH136)",Y,,,2460600.5,0.8980,2.493,16.39,304.93,305.78,98.85,4.73,0.2504,2460205.69,1.44e+03,Y
"       (2004 CO49)",Y,,,2460600.5,0.3884,1.375,4.26,115.11,315.98,330.95,1.91,0.6114,2460648.02,589,Y
"       (2004 DM44)",Y,,,2460600.5,0.7110,2.479,10.54,350.70,95.69,119.16,4.24,0.2526,2460128.68,1.43e+03,Y
"       (2004 EH1)",Y,,,2460600.5,0.5337,2.009,7.52,356.75,231.99,61.07,3.08,0.3462,2460424.09,1.04e+03,Y
"       (2004 FW1)",Y,,,2460600.5,0.7171,1.611,10.16,194.58,91.23,356.33,2.77,0.4822,2460608.12,747,Y
"       (2004 FJ11)",Y,,,2460600.5,0.5621,2.248,2.39,20.89,232.48,12.54,3.51,0.2924,2460557.60,1.23e+03,Y
"       (2004 FY31)",Y,,,2460600.5,0.5556,2.168,11.19,28.77,197.44,148.35,3.37,0.3087,2460119.86,1.17e+03,Y
"       (2004 GB2)",Y,,,2460600.5,0.6493,2.118,12.42,208.94,255.43,259.89,3.49,0.3196,2460913.69,1.13e+03,Y
"       (2004 GE2)",Y,,,2453111.5,0.7067,2.045,2.16,45.13,259.93,341.24,3.49,0.3369,2453167.18,1.07e+03,Y
"       (2004 HD2)",Y,,,2453121.5,0.8338,2.317,15.44,26.90,61.77,15.25,4.25,0.2795,2453066.96,1.29e+03,Y
"       (2004 HF12)",Y,,,2460600.5,0.6487,2.137,13.41,21.81,105.95,215.08,3.52,0.3154,2461060.00,1.14e+03,Y
"       (2004 HG12)",Y,,,2453119.5,0.3450,1.442,26.54,208.22,48.48,337.44,1.94,0.5691,2453159.14,633,Y
"       (2004 HC39)",Y,,,2460600.5,0.5007,1.814,14.66,56.05,224.28,116.60,2.72,0.4033,2460311.35,893,Y
"       (2004 KB)",Y,,,2460600.5,0.2889,1.188,20.68,230.92,243.24,4.84,1.53,0.7612,2460594.14,473,Y
"       (2004 LB)",Y,,,2460600.5,0.0529,1.051,37.33,254.01,144.69,180.15,1.11,0.9144,2460797.18,394,Y
"       (2004 LY5)",Y,,,2460600.5,0.7779,1.831,16.05,86.80,295.65,54.99,3.26,0.3978,2460462.27,905,Y
"       (2004 MX2)",Y,1.258,0.021,2460600.5,0.7186,2.762,18.10,116.16,243.78,134.01,4.75,0.2147,2459976.33,1.68e+03,Y
"       (2004 MP7)",Y,,,2460600.5,0.7179,2.731,17.65,95.00,112.47,188.00,4.69,0.2183,2461388.28,1.65e+03,Y
"       (2004 QB)",Y,,,2460600.5,0.6551,2.112,11.07,130.51,112.57,224.39,3.50,0.3211,2461022.80,1.12e+03,Y
"       (2004 QX2)",Y,,,2453242.5,0.9027,1.286,19.07,320.38,218.61,37.12,2.45,0.6756,2453187.55,533,Y
"       (2004 RW10)",Y,,,2460600.5,0.5945,2.35,3.11,206.07,71.81,217.87,3.75,0.2736,2461119.92,1.32e+03,Y
"       (2004 RY10)",Y,,,2460600.5,0.6228,1.677,15.52,165.68,283.48,60.06,2.72,0.4538,2460468.15,793,Y
"       (2004 RE84)",Y,,,2460600.5,0.6055,1.674,2.00,321.92,131.85,66.43,2.69,0.455,2460454.52,791,Y
"       (2004 RY109)",Y,,,2460600.5,0.4250,1.627,26.13,352.35,306.85,271.78,2.32,0.4747,2460786.33,758,Y
"       (2004 RZ164)",Y,,,2460600.5,0.6072,2.563,13.85,74.73,345.97,307.92,4.12,0.2402,2460817.29,1.5e+03,Y
"       (2004 TN1)",Y,,,2460600.5,0.6951,2.757,8.39,213.57,233.94,124.21,4.67,0.2153,2460023.65,1.67e+03,Y
"       (2004 TB10)",Y,,,2460600.5,0.0937,1.103,22.50,12.82,149.91,314.96,1.21,0.8504,2460653.46,423,Y
"       (2004 TG10)",Y,1.316,0.018,2460600.5,0.8610,2.236,4.19,204.86,317.63,325.58,4.16,0.2947,2460717.30,1.22e+03,Y
"       (2004 TL10)",Y,,,2460600.5,0.6574,2.651,9.51,10.00,325.55,229.37,4.39,0.2284,2461172.46,1.58e+03,Y
"       (2004 UE)",Y,,,2460600.5,0.6460,2.633,14.57,225.44,217.66,240.66,4.33,0.2307,2461117.84,1.56e+03,Y
"       (2004 UV1)",Y,,,2460600.5,0.6510,2.82,20.78,76.39,20.46,63.15,4.66,0.2082,2460297.13,1.73e+03,Y
"       (2004 WK1)",Y,,,2460600.5,0.7303,1.084,34.46,51.79,223.15,278.93,1.88,0.8729,2460693.38,412,Y
"       (2004 XO)",Y,,,2460600.5,0.0968,1.035,26.01,249.95,70.94,48.75,1.14,0.9357,2460548.40,385,Y
