"full_name","neo","diameter","albedo","epoch","e","a","i","om","w","ma","ad","n","tp","per","pha"
"164121 (2003 YT1)",Y,1.717,0.198,2460600.5,0.2920,1.11,44.06,38.31,91.00,235.13,1.43,0.843,2460748.64,427,Y
"164207 (2004 GU9)",Y,0.163,0.219,2460600.5,0.1359,1.001,13.65,38.41,279.48,63.63,1.14,0.9837,2460535.82,366,Y
"164211 (2004 JA27)",Y,,,2460600.5,0.4233,1.666,2.26,67.76,270.22,128.89,2.37,0.4583,2460319.24,786,Y
"164216 (2004 OT11)",Y,,,2460600.5,0.5651,2.153,19.99,294.89,326.60,167.15,3.37,0.3119,2460064.64,1.15e+03,Y
"164400 (2005 GN59)",Y,,,2460600.5,0.4679,1.657,6.63,218.96,203.05,169.72,2.43,0.4622,2460233.33,779,Y
"168318 (1989 DA)",Y,0.9,,2460600.5,0.5417,2.162,6.49,349.07,139.82,83.00,3.33,0.31,2460332.72,1.16e+03,Y
"170086 (2002 XR14)",Y,,,2460600.5,0.6260,1.905,2.13,75.48,120.49,69.28,3.10,0.3749,2460415.72,960,Y
"170903 (2004 WS2)",Y,,,2460600.5,0.6031,1.336,8.27,87.67,115.46,267.96,2.14,0.638,2460744.76,564,Y
"171576 (1999 VP11)",Y,,,2460600.5,0.5836,1.086,17.28,208.08,61.74,111.24,1.72,0.8711,2460472.79,413,Y
"171839 (2001 JM1)",Y,,,2460600.5,0.3108,1.46,17.08,226.64,321.98,118.84,1.91,0.5584,2460387.68,645,Y
"172678 (2003 YM137)",Y,,,2460600.5,0.7028,2.559,2.82,73.98,131.02,326.04,4.36,0.2407,2460741.59,1.5e+03,Y
"173561 (2000 YV137)",Y,,,2460600.5,0.3109,1.448,28.00,137.22,211.38,330.30,1.90,0.5656,2460653.01,636,Y
"175706 (1996 FG3)",Y,1.196,0.072,2460600.5,0.3501,1.055,1.97,299.50,24.06,32.72,1.42,0.9095,2460564.53,396,Y
"175729 (1998 BB10)",Y,,,2460600.5,0.4246,1.271,11.54,124.27,259.25,280.61,1.81,0.6875,2460715.98,524,Y
"177049 (2003 EE16)",Y,,,2460600.5,0.6143,1.418,0.65,127.23,259.50,5.13,2.29,0.5838,2460591.71,617,Y
"177614 (2004 HK33)",Y,,,2460600.5,0.5204,1.889,5.44,104.70,221.54,294.36,2.87,0.3796,2460773.42,948,Y
"179806 (2002 TD66)",Y,,,2460600.5,0.5347,1.858,4.93,335.53,125.88,220.46,2.85,0.3892,2460958.98,925,Y
"180186 (2003 QZ30)",Y,,,2460600.5,0.6315,2.422,8.57,178.04,243.10,198.78,3.95,0.2615,2461216.99,1.38e+03,Y
"184266 (2004 VW14)",Y,,,2460600.5,0.5977,2.121,3.83,100.83,42.78,140.17,3.39,0.319,2460161.14,1.13e+03,Y
"185851 (2000 DP107)",Y,0.863,0.137,2460600.5,0.3765,1.365,8.67,358.65,289.77,62.22,1.88,0.6179,2460499.81,583,Y
"186844 (2004 GA1)",Y,,,2460600.5,0.6726,2.43,7.77,261.48,54.63,114.88,4.06,0.2602,2460159.01,1.38e+03,Y
"187040 (2005 JS108)",Y,0.430,0.199,2460600.5,0.3222,1.355,6.04,110.84,244.00,28.42,1.79,0.6246,2460555.00,576,Y
"189040 (2000 MU1)",Y,,,2460600.5,0.3825,1.372,13.09,130.03,63.78,84.71,1.90,0.613,2460462.31,587,Y
"189865 (2003 NC)",Y,,,2460600.5,0.8055,1.406,21.57,288.39,224.33,315.33,2.54,0.5914,2460676.03,609,Y
"192559 (1998 VO)",Y,,,2460600.5,0.2266,1.075,10.06,228.12,75.97,182.11,1.32,0.8845,2460801.62,407,Y
"192563 (1998 WZ6)",Y,,,2460600.5,0.4078,1.452,24.76,68.68,110.75,226.25,2.04,0.5633,2460837.95,639,Y
"194006 (2001 SG10)",Y,,,2460600.5,0.4243,1.449,4.26,184.93,101.62,114.85,2.06,0.5651,2460397.26,637,Y
"194268 (2001 UY4)",Y,1.244,0.055,2460600.5,0.7875,1.453,5.44,160.69,107.81,74.45,2.60,0.5628,2460468.23,640,Y
"196068 (2002 TW55)",Y,,,2460600.5,0.6645,2.118,59.35,33.54,251.12,85.27,3.53,0.3198,2460333.87,1.13e+03,Y
"196625 (2003 RM10)",Y,,,2460600.5,0.5917,1.848,13.72,341.17,287.44,166.92,2.94,0.3924,2460175.09,917,Y
"197588 (2004 HE12)",Y,,,2460600.5,0.4659,1.845,42.71,338.03,162.22,69.47,2.71,0.3931,2460423.81,916,Y
"199145 (2005 YY128)",Y,,,2460600.5,0.7323,1.649,3.77,299.96,315.17,261.48,2.86,0.4655,2460812.15,773,Y
"199801 (2007 AE12)",Y,,,2460600.5,0.5694,1.684,2.29,245.44,86.98,128.40,2.64,0.4509,2460315.72,798,Y
"206378 (2003 RB)",Y,0.376,0.414,2460600.5,0.4389,1.788,6.72,317.13,44.07,287.00,2.57,0.4121,2460777.62,873,Y
"206910 (2004 NL8)",Y,,,2460600.5,0.7156,2.574,5.02,150.90,278.14,302.11,4.42,0.2387,2460843.05,1.51e+03,Y
"207398 (2006 AS2)",Y,,,2460600.5,0.6419,2.091,2.60,125.63,80.07,49.89,3.43,0.3261,2460447.48,1.1e+03,Y
"207945 (1991 JW)",Y,0.423,0.161,2460600.5,0.1186,1.039,8.71,53.85,301.95,92.10,1.16,0.9305,2460501.52,387,Y
"208115 (2000 CT101)",Y,,,2460600.5,0.3547,1.299,23.30,135.55,292.43,278.65,1.76,0.6654,2460722.74,541,Y
"214869 (2007 PA8)",Y,,,2460600.5,0.6530,2.849,2.00,141.30,293.85,175.77,4.71,0.2049,2459742.82,1.76e+03,Y
"215588 (2003 HF2)",Y,0.488,0.118,2460600.5,0.6755,1.114,3.06,189.88,231.04,195.33,1.87,0.8383,2460796.93,429,Y
"216115 (2006 SU19)",Y,,,2460600.5,0.5864,1.527,2.09,152.22,10.63,92.91,2.42,0.5223,2460422.62,689,Y
"216258 (2006 WH1)",Y,,,2460600.5,0.4849,1.671,2.63,240.31,263.68,65.58,2.48,0.4561,2460456.71,789,Y
"216985 (2000 QK130)",Y,,,2460600.5,0.2620,1.181,4.72,173.81,66.40,358.14,1.49,0.7684,2460602.93,469,Y
"217430 (2005 SN25)",Y,,,2460600.5,0.2706,1.23,13.01,168.27,45.20,121.18,1.56,0.7225,2460432.76,498,Y
"217628 Lugh (1990 HA)",Y,1.4,,2460600.5,0.7115,2.527,4.44,177.75,316.15,160.51,4.33,0.2453,2459946.22,1.47e+03,Y
"220839 (2004 VA)",Y,,,2460600.5,0.5949,1.901,3.69,109.45,43.48,180.72,3.03,0.3761,2461077.16,957,Y
"221455 (2006 BC10)",Y,,,2460600.5,0.6577,2.017,0.92,21.04,234.30,142.51,3.34,0.344,2460186.23,1.05e+03,Y
"221980 (1996 EO)",Y,0.432,0.200,2460600.5,0.4008,1.342,21.59,356.46,64.69,213.52,1.88,0.6342,2460831.45,568,Y
"226514 (2003 UX34)",Y,,,2460600.5,0.6159,1.095,2.56,4.30,218.58,241.15,1.77,0.86,2460738.71,419,Y
"226554 (2003 WR21)",Y,0.482,0.125,2460600.5,0.2615,1.118,9.27,85.76,108.11,123.09,1.41,0.8334,2460452.81,432,Y
"228368 (2000 WK10)",Y,,,2460600.5,0.7020,1.479,14.73,57.93,244.51,150.90,2.52,0.548,2460325.13,657,Y
"230549 (2003 BH)",Y,0.217,0.216,2460600.5,0.3561,1.457,13.11,119.76,313.41,158.58,1.98,0.5607,2460317.65,642,Y
"231937 (2001 FO32)",Y,0.55,,2460600.5,0.8258,1.699,39.01,181.71,123.36,202.09,3.10,0.4451,2460955.29,809,Y
"232691 (2004 AR1)",Y,,,2460600.5,0.4695,1.576,9.08,336.51,50.31,206.69,2.32,0.4982,2460908.24,723,Y
"235756 (2004 VC)",Y,1.136,0.042,2460600.5,0.2589,1.133,39.15,194.16,94.18,257.83,1.43,0.8169,2460725.57,441,Y
"242450 (2004 QY2)",Y,2.914,0.274,2460600.5,0.4772,1.084,37.03,295.27,104.98,234.73,1.60,0.8734,2460743.93,412,Y
"242643 (2005 NZ6)",Y,1.989,0.041,2460600.5,0.8652,1.833,8.41,38.79,48.96,237.52,3.42,0.397,2460909.01,907,Y
"242708 (2005 UK1)",Y,,,2460600.5,0.6953,2.501,0.79,180.30,345.94,238.37,4.24,0.2492,2461088.55,1.44e+03,Y
"243566 (1995 SA)",Y,0.881,0.091,2460600.5,0.6420,2.463,19.58,169.02,54.30,255.75,4.05,0.2549,2461009.46,1.41e+03,Y
"244977 (2004 BE68)",Y,0.495,0.235,2460600.5,0.4446,1.761,15.74,210.88,191.28,343.49,2.54,0.4219,2460639.64,853,Y
"247360 (2001 XU)",Y,,,2460600.5,0.8366,2.573,19.07,260.98,286.06,181.52,4.73,0.2388,2461347.99,1.51e+03,Y
"250620 (2005 GE59)",Y,0.654,0.260,2460600.5,0.6025,2.109,16.08,194.74,243.02,196.79,3.38,0.3218,2461107.67,1.12e+03,Y
"250706 (2005 RR6)",Y,0.535,0.322,2460600.5,0.7011,2.957,6.93,27.27,59.96,258.29,5.03,0.1938,2461125.23,1.86e+03,Y
"251346 (2007 SJ)",Y,,,2460600.5,0.5332,2.015,8.18,306.76,175.25,271.06,3.09,0.3447,2460858.55,1.04e+03,Y
"251722 (1997 US2)",Y,,,2460600.5,0.6608,1.675,3.17,65.89,100.33,115.60,2.78,0.4547,2460346.26,792,Y
"253841 (2003 YG118)",Y,,,2460600.5,0.6461,2.28,8.03,347.42,233.54,330.41,3.75,0.2863,2460703.85,1.26e+03,Y
"255071 (2005 UH6)",Y,,,2460600.5,0.6325,1.001,2.64,19.29,200.25,53.56,1.63,0.9839,2460546.06,366,Y
"260141 (2004 QT24)",Y,,,2460600.5,0.2519,1.133,17.75,36.10,76.64,130.60,1.42,0.8175,2460440.73,440,Y
"263976 (2009 KD5)",Y,0.785,0.125,2460600.5,0.2615,1.046,13.47,104.49,294.37,26.87,1.32,0.9211,2460571.33,391,Y
"264993 (2003 DX10)",Y,,,2460600.5,0.4108,1.375,3.15,61.75,194.06,95.46,1.94,0.6114,2460444.36,589,Y
"265196 (2004 BW58)",Y,0.361,0.310,2460600.5,0.3787,1.455,15.21,132.61,301.85,328.22,2.01,0.5617,2460657.08,641,Y
"265482 (2005 EE)",Y,,,2460600.5,0.3277,1.129,6.17,110.78,284.75,214.47,1.50,0.822,2460777.55,438,Y
"267131 (2000 EK26)",Y,,,2460600.5,0.6573,2.41,15.65,126.39,305.54,240.69,3.99,0.2635,2461053.37,1.37e+03,Y
"267221 (2001 AD2)",Y,0.562,0.097,2460600.5,0.6598,1.04,1.64,210.54,111.95,235.31,1.73,0.9292,2460734.69,387,Y
"267337 (2001 VK5)",Y,0.439,0.578,2460600.5,0.5140,1.269,19.43,54.22,263.93,64.72,1.92,0.6893,2460506.61,522,Y
"267494 (2002 JB9)",Y,,,2460600.5,0.7843,2.719,46.76,70.21,278.00,341.38,4.85,0.2199,2460685.17,1.64e+03,Y
"267720 (2003 CA)",Y,,,2460600.5,0.7196,1.379,21.15,126.17,234.82,185.74,2.37,0.6085,2460886.90,592,Y
"267729 (2003 FC5)",Y,,,2460600.5,0.6087,1.917,5.83,188.76,271.26,64.82,3.08,0.3714,2460425.95,969,Y
"269690 (1996 RG3)",Y,0.888,0.098,2460600.5,0.6037,2.001,3.58,158.05,300.27,297.31,3.21,0.3482,2460780.53,1.03e+03,Y
"275677 (2000 RS11)",Y,,,2460600.5,0.3205,1.28,17.10,172.16,301.69,146.18,1.69,0.6804,2460385.66,529,Y
"276033 (2002 AJ129)",Y,,,2460600.5,0.9149,1.37,15.44,138.01,211.04,85.46,2.62,0.6144,2460461.40,586,Y
"277475 (2005 WK4)",Y,,,2460600.5,0.2374,1.011,9.84,138.11,74.13,83.30,1.25,0.9702,2460514.64,371,Y
"277570 (2005 YP180)",Y,0.439,0.177,2460600.5,0.6170,1.372,4.11,288.91,92.47,276.63,2.22,0.613,2460736.49,587,Y
"279744 (1998 KM3)",Y,,,2460600.5,0.6108,1.67,4.66,263.02,85.36,37.82,2.69,0.4565,2460517.66,789,Y
"279816 (2000 JE5)",Y,,,2460600.5,0.4006,1.238,50.74,41.23,285.16,202.01,1.73,0.7154,2460821.35,503,Y
"286080 (2001 TX1)",Y,,,2460600.5,0.4825,1.047,2.80,159.14,354.18,86.91,1.55,0.9194,2460505.97,392,Y
"288807 (2004 RW164)",Y,,,2460600.5,0.3766,1.49,36.78,164.93,342.88,246.85,2.05,0.542,2460809.26,664,Y
"289315 (2005 AN26)",Y,,,2460600.5,0.6379,2.32,4.92,175.79,208.49,238.91,3.80,0.2789,2461034.62,1.29e+03,Y
"290772 (2005 VC)",Y,,,2460600.5,0.5929,2.085,4.49,227.79,290.38,27.83,3.32,0.3274,2460515.48,1.1e+03,Y
"292220 (2006 SU49)",Y,,,2460600.5,0.3117,1.412,2.52,303.06,199.10,153.84,1.85,0.5875,2460338.65,613,Y
"294739 (2008 CM)",Y,0.740,0.425,2460600.5,0.4080,1.566,36.01,279.54,130.69,196.87,2.20,0.503,2460924.83,716,Y
"297274 (1996 SK)",Y,1.199,0.234,2460600.5,0.7905,2.445,1.97,195.51,286.33,113.57,4.38,0.2577,2460159.87,1.4e+03,Y
"297300 (1998 SC15)",Y,0.320,,2460600.5,0.4144,1.273,16.08,198.68,277.49,337.60,1.80,0.6863,2460633.14,525,Y
"301844 (1990 UA)",Y,0.4,,2460600.5,0.5260,1.642,0.93,104.28,202.58,87.51,2.51,0.4682,2460413.60,769,Y
"302831 (2003 FH)",Y,,,2460600.5,0.5406,1.389,25.80,24.12,274.37,5.07,2.14,0.6021,2460592.09,598,Y
"303450 (2005 BY2)",Y,0.187,0.317,2460600.5,0.3306,1.269,7.29,74.44,130.28,240.46,1.69,0.6893,2460773.91,522,Y
"304330 (2006 SX217)",Y,0.780,0.080,2460600.5,0.3103,1.412,21.04,32.60,176.24,92.72,1.85,0.5876,2460442.71,613,Y
"307005 (2001 XP1)",Y,,,2460600.5,0.7528,2.89,39.21,268.07,246.31,215.45,5.07,0.2006,2461321.11,1.79e+03,Y
"308635 (2005 YU55)",Y,0.4,,2460600.5,0.4305,1.157,0.34,35.93,273.56,189.35,1.65,0.7921,2460815.93,454,Y
"310560 (2001 QL142)",Y,0.654,0.313,2460600.5,0.4991,1.049,26.60,165.55,72.15,267.48,1.57,0.9168,2460701.42,393,Y
"311044 (2004 BB103)",Y,,,2460600.5,0.6220,1.908,55.86,271.07,71.49,332.19,3.09,0.3741,2460674.84,962,Y
"311066 (2004 DC)",Y,,,2460600.5,0.3996,1.634,19.46,74.90,156.37,296.12,2.29,0.472,2460735.84,763,Y
"314082 Dryope (2005 CZ36)",Y,,,2460600.5,0.5766,2.235,16.18,116.62,139.53,272.32,3.52,0.295,2460897.77,1.22e+03,Y
"314212 (2005 NJ1)",Y,,,2460600.5,0.6511,2.132,6.46,316.16,82.62,45.75,3.52,0.3166,2460455.98,1.14e+03,Y
"317255 (2002 DJ5)",Y,,,2460600.5,0.5678,1.401,6.43,347.86,296.19,161.26,2.20,0.5945,2460329.25,606,Y
"329614 (2003 KU2)",Y,,,2460600.5,0.6770,2.69,5.40,105.21,246.81,272.06,4.51,0.2234,2460994.04,1.61e+03,Y
"330233 (2006 KV86)",Y,,,2460600.5,0.3740,1.543,37.08,220.04,153.86,90.72,2.12,0.5142,2460424.07,700,Y
"331876 (2004 CL)",Y,,,2460600.5,0.5362,1.284,13.31,109.39,274.69,123.38,1.97,0.6772,2460418.31,532,Y
"332446 (2008 AF4)",Y,,,2460600.5,0.4101,1.38,8.93,109.31,293.35,146.62,1.95,0.6079,2460359.30,592,Y
"333521 (2005 PO)",Y,,,2460600.5,0.3731,1.252,12.51,300.48,249.55,346.44,1.72,0.7034,2460619.78,512,Y
"333578 (2006 KM103)",Y,0.204,0.352,2460600.5,0.3766,1.573,11.68,169.45,197.03,35.66,2.17,0.4994,2460529.10,721,Y
"337075 (1998 QC1)",Y,,,2460600.5,0.5901,1.984,9.65,308.34,115.47,101.77,3.15,0.3528,2460312.02,1.02e+03,Y
"337558 (2001 SG262)",Y,,,2460600.5,0.5829,1.962,4.82,359.03,100.26,115.78,3.11,0.3587,2460277.76,1e+03,Y
"342866 (2008 YU32)",Y,,,2460600.5,0.5955,1.537,3.41,232.57,83.97,142.65,2.45,0.5172,2460324.67,696,Y
"344076 (1998 HJ3)",Y,,,2460600.5,0.7463,1.985,6.56,223.55,94.19,137.52,3.47,0.3523,2460210.17,1.02e+03,Y
"348314 (2005 BC)",Y,,,2460600.5,0.2781,1.19,30.12,292.45,84.20,123.73,1.52,0.7595,2460437.60,474,Y
"349068 (2006 YT13)",Y,0.496,0.343,2460600.5,0.4258,1.323,38.24,116.69,105.45,205.04,1.89,0.6478,2460839.70,556,Y
"349507 (2008 QY)",Y,,,2460600.5,0.5817,1.168,13.56,1.91,254.90,338.34,1.85,0.7809,2460628.24,461,Y
"350523 (2000 EA14)",Y,,,2460600.5,0.2026,1.117,3.56,203.83,206.06,39.54,1.34,0.8349,2460553.14,431,Y
"350751 (2002 AW)",Y,,,2460600.5,0.2567,1.072,0.57,161.76,119.33,42.35,1.35,0.8886,2460552.84,405,Y
"352102 (2007 AG12)",Y,,,2460600.5,0.6565,2.09,41.97,305.39,68.23,354.95,3.46,0.3261,2460615.99,1.1e+03,Y
"354182 (2002 DU3)",Y,,,2460600.5,0.2383,1.145,8.71,0.61,245.59,102.40,1.42,0.804,2460473.14,448,Y
"356991 (1998 QA1)",Y,,,2460600.5,0.5339,2.102,8.19,298.85,333.15,223.83,3.22,0.3233,2461021.65,1.11e+03,Y
"357022 (1999 YG3)",Y,0.432,0.217,2460600.5,0.3295,1.285,34.52,293.25,250.24,318.54,1.71,0.6769,2460661.76,532,Y
"357024 (1999 YR14)",Y,0.255,0.430,2460600.5,0.4000,1.651,3.73,2.98,9.70,285.74,2.31,0.4644,2460760.40,775,Y
"357028 (2000 EJ26)",Y,,,2460600.5,0.6147,1.383,9.23,10.48,285.90,347.63,2.23,0.6062,2460620.90,594,Y
"357439 (2004 BL86)",Y,,,2460600.5,0.4025,1.502,23.78,126.65,311.51,120.93,2.11,0.5352,2460374.57,673,Y
"357594 (2004 XL35)",Y,,,2460600.5,0.2784,1.355,27.30,73.75,356.21,210.77,1.73,0.6246,2460839.42,576,Y
"357622 (2005 EY95)",Y,,,2460600.5,0.5384,1.084,3.17,72.86,342.14,197.54,1.67,0.8736,2460786.46,412,Y
"358471 (2007 NS4)",Y,,,2460600.5,0.5972,1.875,5.78,10.96,47.58,213.25,2.99,0.3839,2460982.75,938,Y
"358744 (2008 CR118)",Y,,,2460600.5,0.5118,1.842,3.92,121.42,157.22,180.30,2.78,0.3943,2461056.23,913,Y
"359170 (2009 CN5)",Y,,,2460600.5,0.4655,1.545,11.91,349.71,53.25,97.78,2.26,0.5133,2460410.01,701,Y
"359369 (2009 YG)",Y,,,2460600.5,0.6960,2.15,3.38,138.62,67.77,237.63,3.65,0.3126,2460991.94,1.15e+03,Y
"360191 (1988 TA)",Y,0.4,,2460600.5,0.4786,1.54,2.53,194.65,105.26,329.39,2.28,0.5156,2460659.86,698,Y
"361754 (2007 YV29)",Y,,,2460600.5,0.3568,1.373,21.88,59.30,321.87,201.77,1.86,0.6124,2460858.87,588,Y
"363024 (1998 OK1)",Y,0.558,0.099,2460600.5,0.4293,1.356,13.99,109.64,298.64,160.98,1.94,0.6241,2460342.58,577,Y
"363067 (2000 CO101)",Y,,0.110,2460600.5,0.0901,1.076,15.32,353.03,64.95,125.28,1.17,0.8826,2460458.56,408,Y
"363116 (2001 GQ2)",Y,,,2460600.5,0.5030,1.214,21.82,37.11,280.30,153.15,1.83,0.7365,2460392.55,489,Y
"363305 (2002 NV16)",Y,,,2460600.5,0.2208,1.239,3.50,183.26,179.24,12.50,1.51,0.7148,2460583.01,504,Y
"363344 (2002 QC7)",Y,,,2460600.5,0.1960,1.169,26.80,336.01,184.47,354.54,1.40,0.7796,2460607.50,462,Y
"363599 (2004 FG11)",Y,0.152,0.306,2460600.5,0.7236,1.587,3.14,83.45,228.81,69.50,2.73,0.4932,2460459.58,730,Y
"363734 (2004 XN50)",Y,,,2460600.5,0.7782,1.681,3.31,62.40,253.41,55.37,2.99,0.4521,2460478.02,796,Y
"363790 (2005 JE46)",Y,,,2460600.5,0.5523,1.903,8.27,238.33,114.77,90.46,2.95,0.3754,2460359.54,959,Y
"363831 (2005 PY16)",Y,0.371,0.268,2460600.5,0.5250,1.976,6.41,159.31,193.53,327.45,3.01,0.3549,2460692.22,1.01e+03,Y
"365014 (2008 OX2)",Y,,,2460600.5,0.6019,1.048,6.65,220.11,252.03,293.32,1.68,0.9193,2460673.03,392,Y
"365071 (2009 AV)",Y,0.674,0.246,2460600.5,0.0739,1.03,45.87,150.73,322.13,79.79,1.11,0.9433,2460515.91,382,Y
"366746 (2004 LJ)",Y,,,2460600.5,0.4614,1.087,18.28,246.69,256.10,52.20,1.59,0.8702,2460540.52,414,Y
"366774 (2004 TB18)",Y,0.859,0.199,2460600.5,0.4507,1.815,13.20,120.98,13.18,10.58,2.63,0.4032,2460574.26,893,Y
"367248 (2007 MK13)",Y,0.386,0.119,2460600.5,0.1397,1.025,19.88,95.08,259.97,185.35,1.17,0.9505,2460784.25,379,Y
"367789 (2011 AG5)",Y,,,2460600.5,0.3882,1.424,3.69,135.59,54.05,336.11,1.98,0.58,2460641.69,621,Y
"368203 (2001 KO2)",Y,,,2460600.5,0.6177,2.479,12.46,242.30,328.84,339.25,4.01,0.2524,2460682.71,1.43e+03,Y
"368565 (2004 FE5)",Y,,,2460600.5,0.6005,1.245,18.30,189.40,243.47,337.80,1.99,0.7092,2460631.80,508,Y
"369057 (2008 DK5)",Y,,,2460600.5,0.6151,1.555,4.27,345.62,81.00,237.26,2.51,0.5084,2460841.91,708,Y
"369264 (2009 MS)",Y,1.515,0.232,2460600.5,0.5700,2.005,52.38,252.05,219.54,269.44,3.15,0.3472,2460861.37,1.04e+03,Y
"371660 (2007 CN26)",Y,0.230,0.160,2460600.5,0.2693,1.292,7.59,159.27,135.69,231.68,1.64,0.6708,2460791.79,537,Y
"373135 (2011 SD173)",Y,1.050,0.025,2460600.5,0.4974,1.653,4.39,203.12,59.49,122.83,2.48,0.4638,2460335.66,776,Y
"374038 (2004 HW)",Y,,,2460600.5,0.6353,2.691,0.83,219.87,62.78,223.39,4.40,0.2233,2461212.34,1.61e+03,Y
"374158 (2004 UL)",Y,,,2460600.5,0.9266,1.266,23.85,39.47,149.68,319.04,2.44,0.6916,2460659.72,521,Y
"374851 (2006 VV2)",Y,,,2460600.5,0.6054,2.387,23.73,9.82,145.04,280.26,3.83,0.2673,2460898.79,1.35e+03,Y
"374855 (2006 VQ13)",Y,,,2460600.5,0.4458,1.099,16.70,233.68,73.80,251.14,1.59,0.855,2460727.81,421,Y
"375054 (2007 PF6)",Y,,,2460600.5,0.4164,1.298,25.60,316.33,251.27,279.71,1.84,0.6662,2460721.01,540,Y
"375103 (2007 TD71)",Y,,,2460600.5,0.2799,1.286,49.75,49.58,220.75,308.16,1.65,0.6757,2460677.22,533,Y
"377097 (2002 WQ4)",Y,,,2460600.5,0.5564,1.958,3.94,266.87,244.62,320.91,3.05,0.3597,2460709.15,1e+03,Y
"377732 (2005 XJ8)",Y,0.986,0.288,2460600.5,0.6204,1.931,23.56,115.79,67.46,337.57,3.13,0.3672,2460661.60,980,Y
"378358 (2007 LD)",Y,,,2460600.5,0.4393,1.726,16.51,226.16,316.98,257.82,2.48,0.4346,2460835.58,828,Y
"381906 (2010 CL19)",Y,0.520,0.451,2460600.5,0.6455,1.543,7.31,243.78,76.82,271.11,2.54,0.5144,2460773.32,700,Y
"382395 (1990 SM)",Y,,,2460600.5,0.7639,2.106,11.61,136.17,107.74,81.91,3.71,0.3225,2460346.48,1.12e+03,Y
"382406 (1996 AJ1)",Y,,,2460600.5,0.7814,1.31,2.54,90.94,238.33,121.03,2.33,0.6571,2460416.31,548,Y
"382745 (2003 CC)",Y,,,2460600.5,0.3268,1.501,2.32,136.29,103.24,225.18,1.99,0.5361,2460851.97,671,Y
"382758 (2003 GY)",Y,,,2460600.5,0.3172,1.38,4.67,321.79,334.15,36.00,1.82,0.6081,2460541.29,592,Y
"382825 (2003 XB22)",Y,,,2460600.5,0.3935,1.405,29.96,108.76,118.29,94.91,1.96,0.5916,2460440.08,608,Y
"385252 (2001 EB18)",Y,,,2460600.5,0.1837,1.053,50.06,155.46,101.92,231.63,1.25,0.9122,2460741.23,395,Y
"385343 (2002 LV)",Y,1.359,0.334,2460600.5,0.6052,2.314,29.53,132.15,224.23,100.45,3.72,0.2799,2460241.68,1.29e+03,Y
"385605 (2005 EJ225)",Y,,,2460600.5,0.5736,1.706,8.86,341.99,290.71,230.95,2.68,0.4423,2460892.29,814,Y
"386454 (2008 XM)",Y,0.367,0.128,2460600.5,0.9093,1.222,5.45,240.61,27.39,301.03,2.33,0.7295,2460681.34,493,Y
"386847 (2010 LR33)",Y,0.663,0.211,2460600.5,0.4625,1.692,5.83,352.07,333.22,169.15,2.47,0.448,2460222.89,804,Y
"387505 (1998 KN3)",Y,1.060,0.074,2460600.5,0.8734,1.542,2.29,313.24,71.25,248.78,2.89,0.5146,2460816.61,700,Y
"387668 (2002 SZ)",Y,,,2460600.5,0.4335,1.297,22.89,346.84,276.56,22.88,1.86,0.6671,2460566.20,540,Y
"387746 (2003 MH4)",Y,0.366,0.132,2460600.5,0.5133,1.964,3.90,259.55,323.53,287.43,2.97,0.358,2460803.22,1.01e+03,Y
"388188 (2006 DP14)",Y,,,2460600.5,0.7762,1.365,11.77,317.11,59.34,277.05,2.42,0.6182,2460734.67,582,Y
"388945 (2008 TZ3)",Y,,,2460600.5,0.3919,1.592,8.69,43.95,219.68,61.87,2.22,0.4906,2460474.37,734,Y
"389694 (2011 QD48)",Y,0.451,0.456,2460600.5,0.4921,1.545,19.07,358.79,106.79,216.68,2.31,0.5131,2460879.82,702,Y
"390929 (2005 GP21)",Y,,,2460600.5,0.2246,1.308,18.80,9.99,1.42,195.68,1.60,0.6587,2460849.98,547,Y
"395207 (2010 HQ80)",Y,0.724,0.022,2460600.5,0.4893,1.568,27.85,218.47,66.30,79.78,2.34,0.5019,2460441.56,717,Y
"399457 (2002 PD43)",Y,,,2460600.5,0.9563,2.507,25.94,315.04,210.99,223.99,4.90,0.2483,2461148.34,1.45e+03,Y
"399774 (2005 NB7)",Y,,,2460600.5,0.5174,2.044,12.70,199.16,348.16,237.64,3.10,0.3372,2460963.35,1.07e+03,Y
"401856 (2000 KW43)",Y,,,2460600.5,0.4779,1.452,24.27,82.62,63.60,18.63,2.15,0.563,2460567.41,639,Y
"405212 (2003 QC10)",Y,,,2460600.5,0.7313,1.373,5.04,359.96,120.87,17.92,2.38,0.6124,2460571.23,588,Y
"405762 (2005 YO180)",Y,,,2460600.5,0.4480,1.481,5.77,7.72,87.75,181.60,2.14,0.5469,2460926.70,658,Y
"406213 (2007 AB2)",Y,,,2460600.5,0.5457,1.919,1.46,126.84,280.93,265.78,2.97,0.3707,2460854.65,971,Y
"408792 (2000 GF2)",Y,,,2460600.5,0.3777,1.341,9.63,176.01,108.10,243.93,1.85,0.635,2460783.29,567,Y
"409836 (2006 QY110)",Y,0.554,0.331,2460600.5,0.5741,1.924,6.40,222.61,221.63,261.88,3.03,0.3693,2460866.21,975,Y
"410627 (2008 RG1)",Y,,,2460600.5,0.4431,1.316,13.09,347.79,257.45,298.99,1.90,0.6528,2460693.96,551,Y
"410778 (2009 FG19)",Y,1.457,0.048,2460600.5,0.7191,2.912,54.50,187.51,120.40,17.41,5.01,0.1984,2460512.73,1.81e+03,Y
